_time,AP_channel,RSSI,bssid,channel_width,client_mode,client_name,client_opportunity_medium_use,distance_m,download_packet_loss,download_retrans,download_tcp_rtt_ms,jitter_ms,latency_ms,link_speed_mbps,local,mac,obstacles,radio,router_connected_time_sec,router_expected_throughput_mbps,router_noise,router_opportunity_medium_use,router_rx_bytes,router_rx_drop_misc,router_rx_duration_us,router_rx_packets,router_rx_rate_mbps,router_signal_avg_dbm,router_signal_dbm,router_snr,router_tx_bytes,router_tx_duration_us,router_tx_failed,router_tx_packets,router_tx_rate_mbps,router_tx_retries,signal_level,site_survey_same_channel_aps,site_survey_strongest_channel,site_survey_strongest_rssi,site_survey_strongest_ssid,site_survey_total_aps,speedtest_down_mbps,speedtest_up_mbps,ssid,stored_at,upload_packet_loss,upload_retrans,upload_tcp_rtt_ms
2026-05-30 21:42:58.693000+00:00,149,-30,cc:d8:43:b1:ea:4f,80,WiFi 6 (11ax),netprobe-linux,1,2.0,0.0,0,2.062,0.9566666666666666,5.174,780,sala,c0:b5:d7:1a:c1:a1,0,5ghz,34862,619.0,-92,3,93943731,0,1798948,133843,780.0,-48,-42,44,781256530,8589168,7409,521655,780.0,7407,4,0,3,-25,069-2G,42,597.27084513558,66.10019400885534,069-5G,2026-05-30T21:43:30.829Z,0.0,0,1.927
2026-05-30 21:44:35.914000+00:00,149,-28,cc:d8:43:b1:ea:4f,80,WiFi 6 (11ax),netprobe-linux,2,2.0,0.48940512041509765,2341416,1.229,4.537777777777778,7.913,234,sala,80:38:fb:61:54:f9,0,5ghz,88,619.0,-92,3,17992283,2,140573,16060,866.7,-45,-40,47,10765087,601699,7591,8517,780.0,7571,4,1,3,-17,069-2G,39,336.5467862040009,31.69981784859766,069-5G,2026-05-30T21:45:04.449Z,0.08086253369272237,42,2.899
2026-05-30 21:45:03.432000+00:00,149,-26,cc:d8:43:b1:ea:4f,80,WiFi 5 (11ac),motorola moto g(9) plus,1,2.0,0.008497558215993087,18824,13.987,4.877777777777778,18.2,433,sala,08:aa:55:1d:45:66,0,5ghz,16257,330.359,-92,3,193429952,1,5275770,149614,433.3,-44,-42,46,269571446,6017476,979,205552,390.0,972,,0,3,-42,069-2G,25,201.18576196662337,141.02778298115362,069-5G,2026-05-30T21:45:07.690Z,0.0,0,5.454
2026-05-30 21:46:03.289000+00:00,149,-42,cc:d8:43:b1:ea:4f,80,WiFi 5 (11ac),motorola moto g(9) play,1,2.0,0.0003710523033071728,1448,43.552,5.233333333333334,19.234999999999996,433,sala,cc:0d:f2:26:b1:f7,0,5ghz,35019,330.359,-91,3,260742446,1,6810660,229981,433.3,-52,-52,39,433616408,9155954,590,323453,390.0,590,,0,3,-27,069-2G,22,325.38037628711385,195.5573880314647,069-5G,2026-05-30T21:46:06.988Z,0.0,0,7.794
2026-05-30 21:48:27.540000+00:00,149,-31,cc:d8:43:b1:ea:4f,80,WiFi 6 (11ax),netprobe-linux,1,2.0,0.0,0,2.618,0.94,4.43,468,sala,c0:b5:d7:1a:c1:a1,0,5ghz,35191,619.0,-92,3,105292828,0,1863995,143855,780.0,-47,-42,45,797680743,8726284,7698,532605,780.0,7698,4,0,3,-22,069-2G,42,605.6002600829753,75.36341825166201,069-5G,2026-05-30T21:48:59.662Z,0.0,0,1.553
2026-05-30 21:50:01.108000+00:00,149,-28,cc:d8:43:b1:ea:4f,,,netprobe-linux,0,2.0,0.17293440174138403,563272,1.307,2.3866666666666667,6.561,234,sala,80:38:fb:61:54:f9,0,5ghz,68,619.0,-92,3,0,0,0,0,866.7,-49,-40,43,0,0,0,0,780.0,0,4,0,,,,0,259.4393977027548,25.430243173314793,069-5G,2026-05-30T21:50:26.570Z,2.5570872356098073,1215,1.632
2026-05-30 21:50:25.236000+00:00,149,-29,cc:d8:43:b1:ea:4f,80,WiFi 5 (11ac),motorola moto g(9) plus,1,2.0,0.0010891399851314341,2896,25.364,6.043333333333333,17.871000000000002,433,sala,08:aa:55:1d:45:66,0,5ghz,16579,330.359,-92,3,229034671,3,6044808,179211,433.3,-46,-46,46,296738003,6503645,1560,229129,390.0,1560,,0,3,-38,069-2G,21,220.48809754147513,163.6309686756165,069-5G,2026-05-30T21:50:29.950Z,0.0,0,6.673
2026-05-30 21:51:23.893000+00:00,149,-41,cc:d8:43:b1:ea:4f,80,WiFi 5 (11ac),motorola moto g(9) play,1,2.0,0.0003614691464115799,1448,40.098,10.507777777777777,22.567,433,sala,cc:0d:f2:26:b1:f7,0,5ghz,35340,330.359,-92,3,246994240,0,6596882,220337,433.3,-51,-52,41,435705498,9258843,392,323717,390.0,392,,0,3,-27,069-2G,22,327.89620393881836,185.06124308182362,069-5G,2026-05-30T21:51:27.591Z,0.0,0,7.37
2026-05-30 21:53:57.364000+00:00,149,-28,cc:d8:43:b1:ea:4f,80,WiFi 6 (11ax),netprobe-linux,1,2.0,0.026380893302107605,198376,1.385,1.5344444444444445,4.513,780,sala,c0:b5:d7:1a:c1:a1,0,5ghz,35521,619.0,-92,3,109207793,0,1787046,142593,780.0,-48,-42,44,791272006,8595790,3634,528787,780.0,3633,4,0,3,-25,069-2G,33,600.5613222582566,78.3490492879897,069-5G,2026-05-30T21:54:29.686Z,0.0,0,2.021
2026-05-30 21:55:23.263000+00:00,149,-27,cc:d8:43:b1:ea:4f,80,WiFi 6 (11ax),netprobe-linux,2,2.0,0.7427269311605493,2357344,1.434,26.5932,40.25116666666667,234,sala,80:38:fb:61:54:f9,0,5ghz,1,619.0,-92,3,0,0,0,0,234.0,-40,-40,52,0,0,0,0,780.0,0,4,1,3,-17,069-2G,31,251.620935122618,43.500560559863914,069-5G,2026-05-30T21:55:54.661Z,0.15056641651928684,63,2.198
