_time,AP_channel,RSSI,channel_width,client_ID,client_opportunity_medium_use,distance_m,download_packet_loss,download_retrans,download_tcp_rtt_ms,jitter_ms,latency_ms,link_speed_mbps,local,obstacles,radio,router_expected_throughput_mbps,router_noise,router_opportunity_medium_use,router_rx_drop_misc,router_rx_duration_us,router_rx_rate_mbps,router_signal_avg_dbm,router_signal_dbm,router_snr,router_tx_duration_us,router_tx_failed,router_tx_rate_mbps,router_tx_retries,signal_level,site_survey_same_channel_aps,site_survey_strongest_channel,site_survey_strongest_rssi,site_survey_total_aps,speedtest_down_mbps,speedtest_up_mbps,upload_packet_loss,upload_retrans,upload_tcp_rtt_ms,qoe_dw_score
2026-05-30 21:40:42.657000+00:00,149,-42,80.0,2.0,1,2.0,6.715673803618084e-05,1448,47.114,0.020301685891747998,0.004645486448144554,433,1.0,0,1.0,330.359,-92.0,3,0.0,7482527.0,433.3,-52.0,-52.0,40.0,9051025.0,519.0,390.0,517.0,0.0,0,3.0,-27.0,22,0.48868502718685647,0.7813648442078216,0.0,0,10.536,50.772893705764034
2026-05-30 21:42:58.693000+00:00,149,-30,80.0,1.0,1,2.0,0.0,0,2.062,0.0016977225672877845,0.0011589636377211977,780,1.0,0,1.0,619.0,-92.0,3,0.0,1798948.0,780.0,-48.0,-42.0,44.0,8589168.0,7409.0,780.0,7407.0,4.0,0,3.0,-25.0,42,0.8948176260186799,0.22587138446930627,0.0,0,1.927,392.30385490816
2026-05-30 21:44:35.914000+00:00,149,-28,80.0,1.0,2,2.0,0.09052082548207276,2341416,1.229,0.008052844326136253,0.001772493093407004,234,1.0,0,1.0,619.0,-92.0,3,2.0,140573.0,866.7,-45.0,-40.0,47.0,601699.0,7591.0,780.0,7571.0,4.0,1,3.0,-17.0,39,0.5042067576677378,0.10832164492479937,0.0010420374282101305,42,2.899,6.041417054449333
2026-05-30 21:45:03.432000+00:00,149,-26,80.0,3.0,1,2.0,0.001571716257568454,18824,13.987,0.00865621610963226,0.004076756514597177,433,1.0,0,1.0,330.359,-92.0,3,1.0,5275770.0,433.3,-44.0,-42.0,46.0,6017476.0,979.0,390.0,972.0,0.0,0,3.0,-42.0,25,0.3014119429701406,0.4819069152251291,0.0,0,5.454,54.7595872002508
2026-05-30 21:46:03.289000+00:00,149,-42,80.0,2.0,1,2.0,6.863017853980543e-05,1448,43.552,0.009287193138124816,0.004308594041663556,433,1.0,0,1.0,330.359,-91.0,3,1.0,6810660.0,433.3,-52.0,-52.0,39.0,9155954.0,590.0,390.0,590.0,0.0,0,3.0,-27.0,22,0.4874774957351347,0.668240368128886,0.0,0,7.794,84.5786419981994
2026-05-30 21:48:27.540000+00:00,149,-31,80.0,1.0,1,2.0,0.0,0,2.618,0.001668145519077196,0.000992309415366236,468,1.0,0,1.0,619.0,-92.0,3,0.0,1863995.0,780.0,-47.0,-42.0,45.0,8726284.0,7698.0,780.0,7698.0,4.0,0,3.0,-22.0,42,0.907296566469324,0.25752480569969,0.0,0,1.553,437.82789066964403
2026-05-30 21:50:01.108000+00:00,149,-28,0.0,1.0,0,2.0,0.031986107514774514,563272,1.307,0.004235433303756285,0.0014696483237512134,234,1.0,0,1.0,619.0,-92.0,3,0.0,0.0,866.7,-49.0,-40.0,43.0,0.0,0.0,780.0,0.0,4.0,0,0.0,0.0,0,0.3886862180513718,0.08689784226924095,0.032951980169570315,1215,1.632,6.732201640347704
2026-05-30 21:50:25.236000+00:00,149,-29,80.0,3.0,1,2.0,0.00020144834291068727,2896,25.364,0.01072463768115942,0.00400306130067946,433,1.0,0,1.0,330.359,-92.0,3,3.0,6044808.0,433.3,-46.0,-46.0,46.0,6503645.0,1560.0,390.0,1560.0,0.0,0,3.0,-38.0,21,0.3303302640909113,0.559144401782902,0.0,0,6.673,59.57973664036664
2026-05-30 21:51:23.893000+00:00,149,-41,80.0,2.0,1,2.0,6.685766894248417e-05,1448,40.098,0.018647342995169076,0.005054954080489809,433,1.0,0,1.0,330.359,-92.0,3,0.0,6596882.0,433.3,-51.0,-52.0,41.0,9258843.0,392.0,390.0,392.0,0.0,0,3.0,-27.0,22,0.4912466516299941,0.6323739258753527,0.0,0,7.37,47.27221432897406
2026-05-30 21:53:57.364000+00:00,149,-28,80.0,1.0,1,2.0,0.004879434519679366,198376,1.385,0.002723060238588189,0.0010109012170536847,780,1.0,0,1.0,619.0,-92.0,3,0.0,1787046.0,780.0,-48.0,-42.0,44.0,8595790.0,3634.0,780.0,3633.0,4.0,0,3.0,-25.0,33,0.8997473441714451,0.26772702410164384,0.0,0,2.021,135.54170406400564
2026-05-30 21:55:23.263000+00:00,149,-27,80.0,1.0,2,2.0,0.13737546280552873,2357344,1.434,0.04719290150842946,0.009016165160904952,234,1.0,0,1.0,619.0,-92.0,3,0.0,0.0,234.0,-40.0,-40.0,52.0,0.0,0.0,780.0,0.0,4.0,1,3.0,-17.0,31,0.37697277484205904,0.14864603631164913,0.0019402785725312205,63,2.198,2.688246143304232
2026-05-30 21:55:47.373000+00:00,149,-26,80.0,3.0,1,2.0,0.00025304681156913686,2896,24.335,0.008675934141772652,0.005212424400806392,433,1.0,0,1.0,330.359,-92.0,3,1.0,6481259.0,433.3,-45.0,-46.0,48.0,5587243.0,2202.0,390.0,2202.0,0.0,0,3.0,-38.0,21,0.2812897041448892,0.6701345555429838,0.0,0,8.018,67.27932874145257
2026-05-30 21:56:44.525000+00:00,149,-38,80.0,2.0,1,2.0,6.822765369378652e-05,1448,47.013,0.008849452824608105,0.004450384529231688,433,1.0,0,1.0,330.359,-92.0,3,2.0,6465238.0,433.3,-51.0,-51.0,41.0,9339551.0,673.0,390.0,673.0,0.0,0,3.0,-27.0,22,0.49380878829557573,0.6094111862349441,0.0,0,6.63,82.52652675677442
2026-05-30 21:59:26.139000+00:00,149,-30,80.0,1.0,1,2.0,0.0,0,2.449,0.0021019422261658286,0.0006706488464123051,702,1.0,0,1.0,619.0,-92.0,2,0.0,1851677.0,866.7,-49.0,-42.0,43.0,8832834.0,3004.0,780.0,3003.0,4.0,0,3.0,-24.0,44,0.9559636212427685,0.25890702037600793,0.0,0,1.769,438.17159105583914
2026-05-30 22:00:52.451000+00:00,149,-30,80.0,1.0,2,2.0,0.12181876906486333,1959680,3.078,0.103035393867692,0.021434622564025986,234,1.0,0,1.0,619.0,-92.0,2,0.0,14720.0,780.0,-42.0,-42.0,50.0,14000.0,0.0,780.0,0.0,4.0,1,3.0,-22.0,28,0.35206429560302877,0.20964384218452053,0.0,0,1.973,2.2806890563652815
2026-05-30 22:01:07.985000+00:00,149,-25,80.0,3.0,1,2.0,0.0002280457818493559,4344,49.378,0.013195307108350587,0.00403845292316882,433,1.0,0,1.0,330.359,-92.0,2,1.0,3523199.0,433.3,-45.0,-46.0,48.0,7958840.0,983.0,390.0,983.0,0.0,0,3.0,-38.0,21,0.43579143421099503,0.28777449554549006,0.0,0,7.296,41.4370619791524
2026-05-30 22:02:05.136000+00:00,149,-41,80.0,2.0,1,2.0,6.964918740612086e-05,1448,47.404,0.011773636991028295,0.003945045919510192,433,1.0,0,1.0,330.359,-92.0,3,2.0,7142001.0,433.3,-51.0,-52.0,41.0,9128953.0,726.0,390.0,726.0,0.0,0,3.0,-27.0,22,0.48742876747686453,0.717260800161686,0.0,0,8.093,76.30252265819657
2026-05-30 22:04:55.019000+00:00,149,-39,80.0,1.0,1,2.0,0.0,0,2.076,0.0006763285024154591,0.000770551780781005,650,1.0,0,1.0,619.0,-92.0,4,0.0,1814917.0,866.7,-50.0,-41.0,42.0,8734542.0,1451.0,780.0,1451.0,4.0,0,3.0,-26.0,41,0.9554172668476567,0.26030866154640053,0.0005559902206688937,21,2.098,606.9917780744271
2026-05-30 22:06:19.925000+00:00,149,-25,80.0,1.0,2,2.0,0.00021084561793462922,2896,2.012,0.014804890071970816,0.0021295900843724333,234,1.0,0,1.0,619.0,-92.0,4,0.0,5592566.0,780.0,-41.0,-39.0,51.0,2036460.0,110.0,780.0,110.0,4.0,1,3.0,-17.0,30,0.230844769450048,0.7022191981127692,0.0007283268384814596,21,1.58,52.20331779844135
2026-05-30 22:06:28.608000+00:00,149,-29,80.0,3.0,1,2.0,0.0001389812247392967,2896,31.901,0.01344966972296165,0.0037958635107892187,433,1.0,0,1.0,330.359,-92.0,2,2.0,4501690.0,433.3,-47.0,-47.0,44.0,8701988.0,428.0,390.0,428.0,0.0,0,3.0,-45.0,24,0.48612391481257305,0.4450829247920695,0.0,0,20.067,53.56530617108287
2026-05-30 22:07:25.773000+00:00,149,-40,80.0,2.0,1,2.0,6.769749845810912e-05,1448,43.83,0.008955930198166224,0.004004853281564997,433,1.0,0,1.0,330.359,-92.0,2,1.0,6992873.0,433.3,-51.0,-51.0,41.0,9156132.0,326.0,390.0,326.0,0.0,0,3.0,-27.0,22,0.49255227738388213,0.6993142914332997,0.0,0,9.052,91.48162174949309
2026-05-30 22:10:23.789000+00:00,149,-34,80.0,1.0,1,2.0,0.0,0,2.492,0.005732031943212069,0.0012476666915552902,650,1.0,0,1.0,619.0,-92.0,3,0.0,1912852.0,780.0,-50.0,-45.0,42.0,8940296.0,21885.0,780.0,21885.0,4.0,0,3.0,-24.0,39,0.7843899170875405,0.25571753295328264,0.0,0,2.329,149.0189626325451
2026-05-30 22:11:47.599000+00:00,149,-22,80.0,1.0,1,2.0,0.0,0,0.0,0.00733215025140491,0.000990427835436422,234,1.0,0,1.0,25.343,-92.0,3,0.0,0.0,468.0,-38.0,-38.0,54.0,0.0,0.0,29.3,0.0,4.0,0,3.0,-22.0,29,0.0,0.0,0.0,0,0.0,0.0
